Date,Open,High,Low,Close,Volume,Adj Close
2010-10-01,10789.72,10907.41,10759.14,10829.68,4298910000,10829.68
2010-09-30,10835.96,10960.99,10732.27,10788.05,4284160000,10788.05
2010-09-29,10857.98,10901.96,10759.75,10835.28,3990280000,10835.28
2010-09-28,10809.85,10905.44,10714.03,10858.14,4025840000,10858.14
2010-09-27,10860.03,10902.52,10776.44,10812.04,3587860000,10812.04
2010-09-24,10664.39,10897.83,10664.39,10860.26,4123950000,10860.26
2010-09-23,10738.48,10779.65,10610.12,10662.42,3847850000,10662.42
2010-09-22,10761.11,10829.75,10682.4,10739.31,3911070000,10739.31
2010-09-21,10753.39,10844.89,10674.83,10761.03,4175660000,10761.03
2010-09-20,10608.08,10783.51,10594.38,10753.62,3364080000,10753.62
2010-09-17,10595.44,10689.29,10529.67,10607.85,4086140000,10607.85
2010-09-16,10571.75,10624.58,10499.43,10594.83,3364080000,10594.83
2010-09-15,10526.42,10609.21,10453.15,10572.73,3369840000,10572.73
2010-09-14,10544.81,10622.69,10460.34,10526.49,4521050000,10526.49
2010-09-13,10458.6,10605.73,10458.45,10544.13,4521050000,10544.13
2010-09-10,10415.01,10502.8,10376.34,10462.77,3061160000,10462.77
2010-09-09,10388.22,10515.86,10359.23,10415.24,3387770000,10415.24
2010-09-08,10338.57,10460.5,10318.93,10387.01,3224640000,10387.01
2010-09-07,10446.8,10448.99,10304.44,10340.69,3107380000,10340.69
2010-09-03,10321.92,10484.71,10321.92,10447.93,3534500000,10447.93
2010-09-02,10270.08,10350.98,10211.8,10320.1,3704210000,10320.1
2010-09-01,10016.01,10305.87,10016.01,10269.47,4396880000,10269.47
2010-08-31,10006.42,10101.53,9915.73,10014.72,4038770000,10014.72
2010-08-30,10145.58,10170.1,10005.56,10009.73,2917990000,10009.73
2010-08-27,9982.4,10176.3,9925.11,10150.65,4102460000,10150.65
2010-08-26,10059.83,10138.12,9959.17,9985.81,3646710000,9985.81
2010-08-25,10040.15,10104.18,9925.34,10060.06,4360190000,10060.06
2010-08-24,10170.86,10170.86,9975.86,10040.45,4436330000,10040.45
2010-08-23,10215.51,10328.88,10146.18,10174.41,3210950000,10174.41
2010-08-20,10270.98,10276.13,10131.88,10213.62,3761570000,10213.62
2010-08-19,10411.15,10412.29,10202.34,10271.21,4290540000,10271.21
2010-08-18,10398.59,10486.38,10308.83,10415.54,3724260000,10415.54
2010-08-17,10297.55,10501.67,10297.55,10405.85,3968210000,10405.85
2010-08-16,10303.07,10354.39,10193.26,10302.01,3142450000,10302.01
2010-08-13,10320.33,10381.86,10254.18,10303.15,3328890000,10303.15
2010-08-12,10361.58,10388.37,10222.85,10319.95,4521050000,10319.95
2010-08-11,10631.82,10631.82,10339.63,10378.83,4511860000,10378.83
2010-08-10,10696.63,10717.21,10522.63,10644.25,3979360000,10644.25
2010-08-09,10654.62,10755.66,10618.26,10698.75,3191630000,10698.75
2010-08-06,10668.55,10688.08,10491.37,10653.56,3857890000,10653.56
2010-08-05,10679.67,10712.37,10571.6,10674.98,3685560000,10674.98
2010-08-04,10630.2,10738.48,10583.1,10680.43,4057850000,10680.43
2010-08-03,10673.92,10714.19,10564.18,10636.38,4071820000,10636.38
2010-08-02,10468.82,10715.21,10468.82,10674.38,4144180000,10674.38
2010-07-30,10465.19,10528.84,10327.37,10465.94,4006450000,10465.94
2010-07-29,10498.94,10609.74,10383.45,10467.16,4612420000,10467.16
2010-07-28,10537.01,10586.36,10445.17,10497.88,4002390000,10497.88
2010-07-27,10525.28,10632.52,10460.65,10537.69,4725690000,10537.69
